¿Cuántos años cumplidos tienes? (anota el número);¿Qué son para ti los Derechos Humanos?;¿Cuáles derechos conoces?;¿Qué significa ser una persona?
11.0;Quienes ayudan x los derechos de cada persona;Educación, salud, vivienda, ;Un ser vivo pensante
11.0;Algo muy importante ;A la educación, a la salud, a jugar  a la no violencia ;Estar vivo 
12.0;;;
11.0;Son leyes para ayudar a la gente;Derecho al trabajo derecho a la educación;Ser un ser viviente
9.0;Es lo que hace que yo pueda tener lo queocupo;Derecho a la libertad, a la salud, a el estudio, a la vivienda, a la alimentacion, a la  bestimenta ;Ser un ser humano con derechos y obligaciones
8.0;Son los derechos que todas las personas tenemos por igual;Derecho a la educasion derecho a la salud derecho a una niñes digna a jugar ;Ser un ser humano
15.0;Es algo que nadie nos puede quitar o negar ;Derecho a ir a la escuela, derecho a vivir, derecho a trabajar, derecho a la libertad de expresión ;Ser un ser vivo que se caracteriza por el uso de la razón 
13.0;Algo q todos tenemos, y q nos sirve para tener respeto, igualdad y libertad;El derecho a la igualdad, el derecho a la seguridad ;Alguien con conciencia, razonamiento, sentimientos 
13.0;Para mi son beneficios que tenemos por el simple hecho de ser una persona ;A un nombre , a la educación, a la vida digna  y saludable , libertad de expresión, a la vida  , a no ser discriminado  , ser feliz;Es alguien que puede razonar las cosas pensar sobre que quiere hacer  de su vida  y que toma sus propias decisiones y que merece ser respetada ante todo los aspectos( decisiones , gustos ,etc.) 
;;;
10.0;Trabajos que uno debe hacer;Tener familia, tener casa, poder estudiar;Tratar de ayudar a otras personas que lo necesitan
14.0;Una cualidad que todos debemos de tener y deve ser respetada ;Los más básicos como el derecho a el estudio o el derecho a tu expresión;Es un ser vivo que cumple con las capacidades de un humano conforme la gente aún que yo opinó que todo ser vivo es una persona no como tal con esas capacidades pero la.cpnsidero una persona 
;;;
14.0;Son derechos que tiene todo ser humano pir el simple hecho de serlo ;El derecho a la escuela, a la familia, al descanso, a la vida, entre otros. ;Significa responsabilidad por cuidar el entorno y razocinio para manejar las situaciones de la vida diaria. 
12.0;Son los derechos que tenemos, y nos protegen;Derecho a la libertad, a la salud, a el estudio, a la vivienda, a la alimentacion, a la  bestimenta ;Ser un ser humano con derechos y obligaciones
11.0;Lo derechos humanos están echos pera cuidar la vida de las peronas;Derecho a la escuela, derecho a la salud y derecho a jugar;Ser parte de la sociedad y ser respetado
17.0;aquellos que nos ofrecen las libertades que gozamos los individuos ;a la vida, igualdad, libertad, integridad, trabajo, expresión ;aquel individuo que goza de derechos 
16.0;Derechos que todas las personas tenemos;A la salud, educacion, de lis niñis, adultos mayores;Un individuo que tiene derechos y obligaciones
15.0;Los que nos cuidan;A la educacion, a un lugar donde vivir, a ser respetado ;Un ser vivo con derechos y que debe ser respetado 
8.0;Son los derechos legales que tenemos por ser seres humanos;Jugar, ir a la escuela, dormir, derecho a qué me den amor, la vida, salud;Que tienes derechos y obligaciones y que mereces tener una vida feliz
14.0;Son los derechos básicos que se necesitan para vivir de una mejor manera ;Derecho a la educación , derecho a la salud , derecho a la alimentación , derecho a una vivienda digna ;Es una pregunta confusa 
9.0;Lo que los protege a todas las personas;Ala escuela, a una familia, nombre , a la igualdad, a la diversión, a la vida, a la salud;
14.0;Lo que podemos hacer;No recuerdo;Ser alguien que merece respeto
10.0;;;
12.0;Las cosas que podemos hacer;El de ir a la escuela;Estar vivo ?
12.0;De los niños , el derecho a estudiar a la expresión y a la libertad;Los que me dio e antes;Es ser valiosa
14.0;Son derechos de hacer o tener algo y todos los tenemos.;Derecho a la educación y derecho a una vivienda;Tener derechos
11.0;;;
15.0;Para mí son acciones,libertades o cosas que puedo hacer por ser una persona;Derecho a la educación, derecho a la salud;Ser un ser Humano
15.0;Algo que nadie no puede quitar ;Derecho a ir a la escuela ;Ser un ser vivo 
14.0;;;
16.0;Para mi son lo fundamental que necesita una persona para vivir.;Derecho a la vida, la libre expresión, al voto, etc;El tener una vida propia
17.0;Los que garantizan nuestra dignidad;Derecho a la familia, educación, salud, a un hogar, a la libertad y la libertad de expresión;Individuo que tiene vida
15.0;Son un conjunto de derechos que tenemos todos los humos por el simple hechos de ser humanos, no importa tu cultura, color de piel, género, religión, etc.;Derecho a la libertad, ser reconocido como persona antes de la ley,  a la igualdad, a la educación.;Ser alguien con pensamientos, emociones, opiniones e ideas.
14.0;Son derechos que tenemos los humanos sin importar si eres mujer hombre etc;Libertad igualdad paz confianza y muchos más ;No se
;;;
17.0;Son cosas que todos y cada uno de nosotros debemos tener y gozar sin discriminación alguna;Libertad, escuela, nacionalidad, casa, libertad de expresión, vida y familia;Es ser un individuo con características individuales 
13.0;Valores que con el que el ser humano cuenta y es protegido para una vida digna  sin importar etnia, sexo, preferencias entre otras cosas.;Derecho a la vida, a la salud, educación, a la libertad de expresión, no discriminación, familia y vivienda;alguien capaz de hacer muchas cosas, de pensar, amar, reflexionar, solucionar teniendo en cuenta su propia existencia
14.0;Son los derechos que tenemos los humanos ante la sociedad;Derecho a la educación, derecho a una vivienda, derecho a la salud, derecho al deporte, derecho a votar etc.;Que tenemos derechos y obligaciones ante la sociedad
;;;
14.0;Son los derechos que tenemos todos sin importar raza, religión, sexo, origen etc;Trabajo, seguridad, dignidad, alimento, vivienda, educación, etc;Ser alguien que vale en esta sociedad, tanto con sus derechos, como con sus expresiones
13.0;;;
;;;
16.0;El derecho a pensar lo que quiera y ser como yo quiera ;Libertad de expresión, derecho a el estudio, derecho a la igualdad, etc;Tener los derechos de todos y expresarte en la forma que quieras
;;;
8.0;;;
17.0;Los derechos que tenemos con solo ser seres humanos y que son irrevocables ;A la familia,  a la vida digna ,etc;El ser ser humano integro con derechos y obligaciones 
;;;
;;;
9.0;Son derechos que tenemos todos los niños ;A ir a la escuela, tener una familia ;Ser un niño, que te quieran
9.0;Son derechos que tenemos todos los niños ;A ir a la escuela, tener una familia ;Ser un niño, que te quieran
9.0;ir a la escuela jugar que me lleven al doctor si me enfermo y pongan las vacunas;ir a la escuela, jugar, y de la salud;ser una niña,o un niño o un hombre y una mujer que hace las cosas para vivir y que me quieran
15.0;cosas que puedes ejercer independientemente de tu raza, estado o religión o tu género, a los que puedes exigir y nadie debe negartelo, porque es algo a lo que no debes  ;una buena educación, al descanso, derecho a opinar;ser parte de la sociedad 
14.0;los derechos y el trato que recibe la sociedad que se rigen dependiendo del orden jurídico nacional;derecho a la no discriminación, derecho a no la tortura, derecho a una nacionalidad, derecho a la educación, derecho a juicio, derecho a la libertad de movimiento, derecho a la democracia, derecho a la seguridad social, derecho a la libertad de expresión, derecho a la libertad de pensamiento y el derecho al matrimonio y a la familia;contar con un sentido de humanidad y tener acceso a derechos humanos
14.0;algo importante, pero ni idea de que es, sirven para mantener a raya a las personas;de la escuela, igualdad, el voto y la educación;poder tener diferentes decisiones sin que alguien te critique pero a veces hay personas que sólo critican por criticar
14.0;Cosas que tienes permitido hacer;Libre desarrollo ;Un ser con vida
11.0;algo que tú puedes hacer, pero si alguien te dice que no, no lo puedes hacer, puede que tú puedas protestar por eso, porque es un derecho tuyo que todos los seres humanos tenemos, también es algo que tú puedes hacer algo, porque esos derechos se cumplan, y si alguien te dice que no estás cumpliendo tus derechos, pues hay que protestar por tus derechos también de tu género o todo eso...;derecho a familia, a un hogar y a la salud, alimentación;como hablamos anteriormente una persona también es parte de la sociedad, y tmbn tiene derechos y obligaciones como todos
10.0;las cosas que hacen que podamos estar bien ;comida, jugar, poder tener un seguro médico;Ser feliz 
12.0;lo que sirve que todos nos respetamos mutuamente y para estar bien ;casa, educación, vestimenta , familia, nacionalidad y nombre y salud;ser un ser vivo 
11.0;;;
13.0;Una forma de defender justamente a alguien o a algo por lo que esta pasando;Ir a la escuela, no maltrato, no explotación infantil, derecho a votar, y tener derecho a ser tratado como persona;Respetar y ser respetado, querer y ser querido, sobre todo ser educado y cuidado correctamente en la infancia 
16.0;La garantía de lo básico que necesita un ser humano;Educación, Alimentos, Salud, Seguridad, Libertad etc.;Un individuo participe en las relaciones de nuestra sociedad 
15.0;Son leyes  que todo ser humano tiene ;derecho a la vida, derecho a servicios medicos, estudiar y derecho a una vivienda digna;un ser vivo con pensamiento propio 
10.0;estar seguro;derecho a la comida y a la escuela ;es ser un ser humano
10.0;Una cosa que es nuestra y  no nos la pueden quitar ;Tener estudios, comer familia amorosa,una casa  y un techo;Tener vida y sentimientos
8.0;Derechos de personas;derecho a bañarme, derecho a casa, derecho a comer;no se
13.0;Es algo que debemos tener desde que nacemos como un valor ;A la vida, salud, educación a una familia los derechos de las mujeres ;Un ser humano con capacidades y cualidades y derechos 
16.0;Los derechos fundamentales que debe gozar cada ser humano ;Vida, salud, hogar, identidad, familia, vestimenta;Ser un ser humano.
10.0;para que tengamos los mismos derechos y de participar;derecho de la medicina, de estudios y trabajar cuando seamos grandes ;hecharle ganas en la vida para poder triunfar y hacer tus sueños realidad
10.0;CNJ;TODOS ;UN INDIVIDUO 
9.0;No sé;Derecho a no pegarnos;No sé
11.0;No se;a la alimentación, a una vivienda;tener vida
11.0;si no existieran todabia estubieramos maltratad@s;sobre los derechos de los niñas y niños;alguien que puede ser muchas cosas
13.0;-;salud, identidad, vivienda, alimentación, estudio, etc.;Es ser tu mismo y que te trate como a cualquier otra persona.
10.0;para mi son que todos somos iguales;que todos y todas tenemos los mismos derechos;una niña o un niño y adulto
10.0;respetarnos cuidar los animales;y cuidar las plantas;alguien que te respeta
8.0;respetar, cuidarnos, no pelearnos;no pelearnos, respetarnos, cuidarnos;Un ser humano
12.0;Pues son los derechos;La salud a la escuela;Un ser humano
9.0;NO SÉ;NO SE;ES COMO UN MUÑECO
8.0;no se;ninguno;
10.0;nose;el derecho humano;
10.0;Que se cuidan y se cuidan;Ninguno;Ser responsable y ser amable
10.0;Nada;Derecho a vivienda;Todos
11.0;Jugar fut bol;ninguno;laspersonas tienenemosiones
9.0;PARAASER;MUCHOS;HACER LO QUE TÚ QUIERAS
12.0;son derechos que todos tenemos;derecho a la obligacion;un ser vivo que vive
